sample_id	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	gender
HG00110	0.0365634448826313	-0.0140779493376613	0.0107726184651256	0.0319164581596851	0.046970296651125	0.0798239409923553	0.0263909660279751	0.00318855838850141	0.006239704787731171	-0.00799260102212429	0.0652085170149803	0.0190569721162319	0.0168040972203016	0.021340936422347998	0.0177728720009327	-0.0282702520489693	-0.00208689505234361	0.0612016916275024	-0.00591307552531362	-0.0557141825556755	0.045914750546217	0.068655788898468	0.0215205457061529	-0.0005106038879603151	-0.033243577927351005	-0.0550982132554054	0.0463919155299664	-0.0399177819490433	-0.0208815988153219	-0.0075345104560256	0.0523390024900436	0.0232003126293421	-0.0783064141869545	0.024754012003541003	-0.0638458579778671	0.0022510141134262102	0.0550039522349834	0.0669848322868347	-0.0664054155349731	-0.0501161813735962	-0.0360223539173603	-0.0666536092758179	0.00253570219501853	-0.0387219190597534	0.0064	0.026	-0.0105	-0.0068	0.0052	0.0184	-0.004	0.0098	0.013	-0.0082	0
HG00111	-0.0212038271129131	-0.0735992714762688	0.00619629304856062	0.0601510480046272	0.0109612103551626	-0.079866886138916	-0.0211296044290066	0.0320741347968578	0.0133577203378081	0.00945357792079449	0.0303270649164915	0.00147227616980672	0.0428868941962719	0.0204332731664181	-0.0345979444682598	-0.004635082557797429	-0.0170498471707106	0.03904879465699201	-0.00227462942712009	0.0085171926766634	0.0235930308699608	-0.0635247677564621	0.0058086859062314	0.0765354633331299	0.004080571234226229	-0.00439646327868104	-0.0153206652030349	0.00691579049453139	-0.0776650235056877	-0.0529880225658417	-0.0721995010972023	-0.0249010194092989	-0.0832202732563019	-0.0278007425367832	-0.0246020406484604	0.0337867103517056	-0.0604970343410969	0.0896760821342468	-0.000110864362795837	0.0689709931612015	-0.0300185102969408	-0.07854540646076201	-0.0417322404682636	0.0768650323152542	0.0058	0.0261	-0.0095	-0.0052	0.0034	0.0178	-0.0082	0.0012	0.0201	-0.0043	0
HG00112	0.00703653879463673	-0.0394784025847912	-0.0275275260210037	0.0444823578000069	0.033222958445549004	-0.0521149225533009	0.00539905531331897	0.0111174630001187	-3.9371687307721004e-05	0.0281786769628525	-0.0516794994473457	-0.0637139230966568	-0.0258979108184576	-0.0454947426915169	0.0732876509428024	0.0620197616517544	0.018439432606101	0.0534730516374111	-0.00474558863788843	-0.0264867451041937	0.0698626860976219	0.0939685255289078	-0.0282077435404062	0.00761240860447288	-0.077800452709198	-0.0866251215338707	-0.0727844685316086	-0.0286231450736523	0.0062750312499702	0.0429264567792416	-0.0509458817541599	-0.0156976599246264	0.0443062409758568	-0.0106591721996665	-0.0549451299011707	0.0298925433307886	0.106438830494881	-0.11115679144859301	-0.0212715864181519	-0.14007443189621	-0.00331667950376868	-0.0463048778474331	-0.0382128842175007	-0.0012761615216732	0.0064	0.0265	-0.0105	-0.0071	0.001	0.0166	-0.0061	0.0108	0.0164	-0.0113	1
HG00114	-0.00435966160148382	-0.00576003920286894	-0.008814442902803421	0.0575873404741287	-0.0238610208034515	-0.0476469285786152	-0.0040024290792644	0.0257556866854429	-0.0146971009671688	0.0381398238241673	0.0309712681919336	-0.00029614000231958904	-0.0383621975779533	0.0169331543147564	-0.0154231516644359	0.0199868902564049	-0.05045460537076	0.0349302589893341	-0.14253441989421803	-0.083395704627037	0.0218875296413898	0.0138797489926219	0.0527712851762772	0.0205572303384542	-0.0374049954116344	-0.0109593058004975	-0.132027268409729	0.0274927299469709	0.0614637359976768	-0.00498629966750741	0.00678568566218019	-0.006432487629354	-0.0420266017317772	0.0422248095273972	0.0394794791936874	-0.00501551060006022	-0.10930800437927199	0.0490584075450897	0.0421460345387459	0.0297837946563959	0.00259905541315675	-0.109082736074924	-0.0217259526252747	-0.0535887517035007	0.0058	0.0257	-0.0104	-0.0092	0.0037	0.0159	-0.0048	0.0089	0.013	-0.0073	1
HG00115	0.004279999062418939	-0.0408112294971943	-0.0653281956911087	0.0870123133063316	-0.0036357748322188898	-0.0530807822942734	0.0260401405394077	-0.0109373684972525	0.0465245246887207	0.0139859644696116	-0.0220620352774858	-0.0504638142883778	-0.0767301097512245	0.0190434847027063	0.000393710361095145	0.0900358930230141	-0.0283128619194031	-0.0710947960615158	-0.0852302983403206	-0.017710804939270002	-0.0026096613146364698	0.0521844662725925	-0.00824614521116018	0.0281264185905457	-0.0291646402329206	-0.0321106053888798	-0.0902834832668304	-0.00653918879106641	-0.0267386604100466	-0.024506775662303	0.0416287034749985	-0.00678158970549703	-0.0529009960591793	0.0572222284972668	0.0730519965291023	-0.0369595400989056	0.0651703476905823	0.000775723601691425	-0.0385067537426949	-0.0761443972587585	-0.0218394640833139	0.0212124865502119	-0.0908332914113998	-0.070120744407177	0.0056	0.0263	-0.0111	-0.007	0.001	0.0116	-0.0072	0.011	0.0102	-0.0114	1
HG00116	0.00905226264148951	-0.0220066253095865	0.0491254441440105	0.014849778264761	0.0997643992304802	0.106269411742687	0.0626451894640923	0.0151616651564837	0.0408177375793457	-0.0459049567580223	0.0359523929655552	-0.0411550141870975	0.059914518147707006	0.0432871654629707	-0.020828265696764	0.00030347696156241	0.0544387139379978	-0.0486456379294395	-0.0117795402184129	0.0190055035054684	0.0947918295860291	0.0728615820407867	0.103826314210892	0.0070183230563998205	0.00242727482691407	-0.0635474100708961	0.0851605460047722	-0.0600198768079281	0.0662009492516518	0.0780259817838669	0.0955455228686333	0.020312562584876997	0.0641209334135056	-0.0946724116802216	0.0218624249100685	0.11614225804805803	0.0070028705522418	-0.0394287928938866	0.0395467653870583	0.145968466997147	0.0715596154332161	0.0173613447695971	0.200072556734085	-0.14070700109005	0.006	0.0267	-0.0105	-0.0075	0.0028	0.0159	-0.0057	0.011	0.0086	-0.0142	1
HG00117	0.00646921619772911	0.00747244153171778	-0.0672019422054291	0.0588307939469814	0.0567422918975353	-0.080396793782711	-0.0192885808646679	-0.0434346459805965	0.0120290657505393	-0.0706094726920128	0.058486994355917	0.0367145352065563	-0.0189815424382687	-0.0205611400306225	0.0448576100170612	-0.000814042054116726	0.0163430906832218	0.0645545870065689	-0.0524386577308178	-0.0145005388185382	0.0149582158774137	-0.0122843440622091	-0.0331675708293915	0.044797245413065005	0.0319979079067707	0.0229314602911472	-0.11664284765720401	-0.0298704467713833	-0.0446357913315296	-0.0368192680180073	0.0430066846311092	-0.0295539982616901	0.0299596637487411	0.0275410991162062	-0.0453056171536446	-0.0440429151058197	0.12187097966671001	-0.0191406160593033	-0.0175865609198809	0.00541131477802992	0.00954887736588717	0.0217402558773756	-0.004013392608612779	-0.0706497058272362	0.0059	0.0263	-0.0102	-0.0083	0.0033	0.016	-0.0059	0.0105	0.0084	-0.01	1
HG00118	0.0319597944617271	-0.016318891197443	-0.0342190228402615	0.0750746577978134	0.0240077152848244	-0.0737815871834755	-0.00730204908177257	0.0037700617685914	0.0558029487729073	-0.048235859721899005	-0.00431928131729364	-0.0583383105695248	-0.0522468611598015	7.44513963581994e-05	0.0149966264143586	0.0365686863660812	-0.0161690264940262	-0.0906464084982872	0.00749666336923838	-0.0111321723088622	0.0399260744452477	0.0580165609717369	-0.0780085846781731	-0.0316196791827679	-0.0379395447671413	-0.0626047179102898	0.039219081401825	-0.0554672963917255	-0.0646877512335777	0.0022188508883118603	0.0582294464111328	0.0249560959637165	0.000837542000226676	-0.0241653565317392	-0.0461279675364494	0.0622930154204369	0.0448833107948303	-0.006153053138405079	-0.151431158185005	-0.0805910155177116	-0.0203359592705965	0.0201731976121664	0.0231763832271099	-0.00812147743999958	0.0061	0.0264	-0.0098	-0.0076	0.0025	0.0153	-0.0067	0.0135	0.0183	-0.0097	0
HG00119	0.0108714671805501	0.0530247017741203	-0.0532633364200592	0.0360582433640957	-0.0274974778294563	-0.0569781698286533	0.0316177718341351	-0.0037446666974574297	0.0212300401180983	-0.0156391821801662	0.052503976970911	-0.012098515406251	0.029430927708745	-0.0171867776662111	-0.0028968625701963897	-0.00404671207070351	-0.0955918729305267	-0.0219300836324692	-0.0561697967350483	0.0146406767889857	0.0318395160138607	0.0433550626039505	0.0745871439576149	-0.0110668791458011	-0.0013172238832339599	-0.0500221140682697	-0.0713232234120369	0.102584406733513	0.00324582145549357	0.00987819116562605	0.0318191796541214	-0.0446809753775597	0.0501968525350094	-0.00953331124037504	-0.0564798302948475	-0.0380953773856163	-0.018008541315793998	-0.0206087324768305	0.0972647666931152	0.10499763488769502	-0.00310262967832386	0.00352501845918596	0.0477532707154751	0.0373093336820602	0.0059	0.0265	-0.0105	-0.0073	0.0038	0.019	-0.0061	0.0068	0.0181	-0.0128	1
HG00120	0.00533457938581705	-0.0351261310279369	-0.117909044027328	0.0976293385028839	0.0132552003487945	-0.0292454548180103	-0.0232376176863909	-0.0024668409023433898	0.113655932247639	0.020419655367732	0.10010293871164301	0.0482667274773121	0.00944926217198372	-0.0477957166731358	0.0416062958538532	0.0469854548573494	0.0966405794024467	-0.0709688141942024	0.00924508552998304	0.0173223707824945	-0.0149233164265752	-0.039216086268425	-0.105286046862602	-0.0241805650293827	0.12225118279457099	0.0101746022701263	0.0630465298891068	-0.007857112213969229	-0.107999220490456	0.0135957859456539	-0.041222408413887	0.0660019516944885	-0.008625354617834091	-0.039098285138607004	0.0365782454609871	-0.000698818126693368	-0.0018476047553122	-0.0688695311546326	0.0400812141597271	-0.00328075280413032	0.326089799404144	0.0635627135634422	0.222642809152603	-0.18176396191120103	0.0059	0.0268	-0.0108	-0.008	0.0039	0.0182	-0.0077	0.0153	0.0146	-0.0143	0
